STUDY_ID	SAMPLE_ID	ERBB2	ESR1
brca_tcga	TCGA-B6-A40C-01	9291.2608	1812.3199
brca_tcga	TCGA-D8-A3Z6-01	8032.7654	5701.8349
brca_tcga	TCGA-JL-A3YW-01	7434.7983	95.1009
brca_tcga	TCGA-A7-A425-01	6560.1005	9283.8177
brca_tcga	TCGA-A7-A426-01	5531.3367	5196.8941
brca_tcga	TCGA-B6-A408-01	7971.9397	22290.0737
brca_tcga	TCGA-B6-A409-01	4574.2448	152.6232
brca_tcga	TCGA-BH-A42T-01	20095.2912	10710.541
brca_tcga	TCGA-BH-A42U-01	8106.6423	2842.28
brca_tcga	TCGA-BH-A42V-01	10427.8853	1785.1841
brca_tcga	TCGA-D8-A3Z5-01	16121.6859	6572.3997
brca_tcga	TCGA-EW-A3E8-01	13072.9571	4451.7268
brca_tcga	TCGA-EW-A423-01	10516.4736	22074.7679
brca_tcga	TCGA-EW-A424-01	6952.8595	5039.8022
brca_tcga	TCGA-GM-A3XG-01	11407.9986	1994.2743
brca_tcga	TCGA-LL-A440-01	6300.525	6348.8624
brca_tcga	TCGA-LL-A441-01	3497.4415	438.0068
brca_tcga	TCGA-LL-A442-01	9306.4935	31872.4675
